ID,RegistrationDate,Deposit,UpsellDate,AccessoryRate,PaymentMethod,rateTypeEntity,RatePerUnit,DaysOnDeposit,MainApplicantGender,Age,Region,Town,Occupation,SupplierName,Term,TotalContractValue,ExpectedTermDate,FirstPaymentDate,LastPaymentDate
ID_OPB81BP,2017-09-28 15:40:59,2000,,0.0,FINANCED,DAILY,40,7,Male,25.0,North Rift,West Pokot,Farmer,d_light,364,16560.0,2018-09-27 15:40:59,2017-09-28 15:40:48,2020-07-08 12:36:37
ID_B7HBFMG,2020-02-10 08:15:11,3000,,0.0,FINANCED,DAILY,85,3,Male,,North Rift,Turkana,Business,d_light,195,19575.0,2020-08-23 08:15:11,2020-02-10 08:15:15,2021-05-19 10:53:09
ID_ZW91V3L,2018-04-30 11:34:47,2999,2018-04-30 00:00:00,80.0,FINANCED,DAILY,55,3,Male,37.0,South Rift,Narok,Farmer,d_light,399,56964.0,2019-06-03 11:34:47,2018-04-30 11:34:46,2020-02-08 15:05:32
ID_YOBGR8U,2017-12-28 14:45:39,2000,,0.0,FINANCED,DAILY,40,7,Female,26.0,Nyanza,Siaya,Business,d_light,364,16560.0,2018-12-27 14:45:39,2017-12-28 14:45:31,2019-04-14 08:27:04
ID_IFR9PFN,2020-01-14 16:03:40,2000,,0.0,FINANCED,DAILY,40,3,Female,35.0,Nyanza,Kisumu,Business,d_light,270,12800.0,2020-10-10 16:03:40,2020-01-14 16:03:45,2021-03-19 11:20:12
ID_CIBQLVJ,2017-09-28 08:45:38,2000,,0.0,FINANCED,DAILY,40,7,Male,68.0,Mount Kenya Region,Laikipia,Farmer,d_light,364,16560.0,2018-09-27 08:45:38,2017-09-28 08:45:43,2018-10-11 15:44:25
ID_SF1AAZR,2018-04-25 13:29:39,2999,2018-04-25 00:00:00,40.0,FINANCED,DAILY,55,3,Male,,North Rift,Baringo,Farmer,d_light,568,56964.0,2019-11-14 13:29:39,2018-04-25 13:29:40,2020-02-12 07:06:08
ID_ZUPIPZC,2018-04-07 16:57:37,2500,,0.0,FINANCED,DAILY,55,3,Male,38.0,North Rift,Trans Nzoia,Farmer,d_light,556,33080.0,2019-10-15 16:57:37,2018-04-07 16:57:41,2021-04-08 18:22:51
ID_UKUSR7F,2017-08-02 15:08:57,2000,,0.0,FINANCED,DAILY,40,7,Male,37.0,,UNKNOWN,Labourer,d_light,364,16560.0,2018-08-01 15:08:57,2017-08-02 15:09:01,2020-09-02 20:39:47
ID_4KYDGQ9,2018-03-30 13:12:21,2500,,0.0,FINANCED,DAILY,55,3,Male,,Coast Region,Tana River,Farmer,d_light,556,33080.0,2019-10-07 13:12:21,2018-03-30 13:12:24,2019-12-12 17:35:37
ID_COOHB8T,2018-03-04 12:02:24,2999,,0.0,FINANCED,DAILY,55,3,Male,27.0,South Rift,Narok,Other,d_light,547,33084.0,2019-09-02 12:02:24,2018-03-04 12:02:27,2020-02-12 16:31:11
ID_EIA9K5U,2018-04-09 16:36:19,2500,,0.0,FINANCED,DAILY,55,3,Male,32.0,North Rift,Nandi,Driver/Motorbike Rider,d_light,556,33080.0,2019-10-17 16:36:19,2018-04-09 16:36:20,2020-01-01 18:16:48
ID_H5LOSQB,2018-03-08 12:24:21,2999,,0.0,FINANCED,DAILY,55,3,Male,,Mount Kenya Region,Tharaka-Nithi,Farmer,d_light,547,33084.0,2019-09-06 12:24:21,2018-03-08 12:24:23,2019-10-01 16:16:37
ID_VWDSWNZ,2018-01-24 05:22:31,2000,,0.0,FINANCED,DAILY,40,7,Male,35.0,Nyanza,Migori,Driver/Motorbike Rider,d_light,364,16560.0,2019-01-23 05:22:31,2018-01-24 05:22:39,2019-10-11 16:02:21
ID_9XFA6HV,2018-03-19 13:12:09,2999,,0.0,FINANCED,DAILY,55,3,Male,,Nairobi Region,Kitui,Business,d_light,547,33084.0,2019-09-17 13:12:09,2018-03-19 13:12:10,2019-11-27 17:33:17
ID_H323587,2017-07-21 14:15:57,2000,,0.0,FINANCED,DAILY,40,7,Male,35.0,North Rift,Nandi,Business,d_light,364,16560.0,2018-07-20 14:15:57,2017-07-21 14:15:45,2018-09-27 17:24:43
ID_E9CPNWU,2017-07-24 15:20:40,2000,,0.0,FINANCED,DAILY,40,7,Male,44.0,Nairobi Region,Kitui,Government Employee,d_light,364,16560.0,2018-07-23 15:20:40,2017-07-24 15:20:09,2019-02-07 12:15:51
ID_TEA2UEB,2018-04-13 16:10:09,2500,,0.0,FINANCED,DAILY,55,3,Male,30.0,Mount Kenya Region,Embu,Farmer,d_light,556,33080.0,2019-10-21 16:10:09,2018-04-13 16:10:11,2020-07-23 06:44:50
ID_9B2VE0U,2018-04-15 14:26:08,2500,,0.0,FINANCED,DAILY,55,3,Female,,South Rift,Narok,Farmer,d_light,556,33080.0,2019-10-23 14:26:08,2018-04-15 14:26:13,2020-02-28 18:05:34
ID_GS2F76Q,2017-08-05 11:04:34,2000,,0.0,FINANCED,DAILY,40,7,Male,49.0,Coast Region,Taita/Taveta,Labourer,d_light,364,16560.0,2018-08-04 11:04:34,2017-08-05 11:04:17,2018-08-08 14:14:26
ID_37SXS61,2017-07-15 11:57:45,2000,,0.0,FINANCED,DAILY,40,7,Male,61.0,Western,Busia,Business,d_light,364,16560.0,2018-07-14 11:57:45,2017-07-15 11:57:46,2020-05-22 13:21:42
ID_0A7EH0S,2018-01-20 18:15:11,2999,,0.0,FINANCED,DAILY,55,3,Male,,Nairobi Region,Kajiado,Business,d_light,547,33084.0,2019-07-21 18:15:11,2018-01-20 18:15:11,2020-08-29 13:23:11
ID_JT3PMXT,2020-01-11 15:45:21,2000,,0.0,FINANCED,DAILY,40,3,Male,29.0,Nairobi Region,Makueni,Labourer,d_light,270,12800.0,2020-10-07 15:45:21,2020-01-11 15:45:29,2021-04-13 17:42:13
ID_2JSJKS2,2017-09-02 15:41:55,2000,,0.0,FINANCED,DAILY,40,7,Male,25.0,Western,Busia,Labourer,d_light,364,16560.0,2018-09-01 15:41:55,2017-09-02 15:41:38,2021-03-11 15:33:50
ID_1SPVPB2,2017-08-19 12:18:12,2000,,0.0,FINANCED,DAILY,40,7,Female,47.0,Nyanza,Homa Bay,Farmer,d_light,364,16560.0,2018-08-18 12:18:12,2017-08-19 12:18:07,2018-11-11 15:59:47
ID_DQ9Z9KV,2018-04-24 10:48:25,2500,,0.0,FINANCED,DAILY,55,3,Male,,Nyanza,Siaya,Business,d_light,556,33080.0,2019-11-01 10:48:25,2018-04-24 10:48:26,2021-05-16 06:10:47
ID_HHUF4LK,2018-02-24 17:30:05,2999,,0.0,FINANCED,DAILY,55,3,Male,51.0,Nyanza,Homa Bay,Business,d_light,547,33084.0,2019-08-25 17:30:05,2018-02-24 17:30:36,2021-04-30 17:02:07
ID_SVG3LNK,2017-07-20 09:17:23,2000,,0.0,FINANCED,DAILY,40,7,Female,48.0,South Rift,Narok,Farmer,d_light,364,16560.0,2018-07-19 09:17:23,2017-07-20 09:17:15,2019-02-22 17:40:27
ID_V6O1XRS,2017-07-31 13:16:16,2000,,0.0,FINANCED,DAILY,40,7,Male,32.0,Coast Region,Kilifi,Teacher,d_light,364,16560.0,2018-07-30 13:16:16,2017-07-31 13:16:17,2020-11-19 12:49:19
ID_HLBM4N0,2018-03-09 14:17:27,2999,,0.0,FINANCED,DAILY,55,3,Male,29.0,South Rift,Bomet,Farmer,d_light,547,33084.0,2019-09-07 14:17:27,2018-03-09 14:17:31,2021-05-20 08:23:02
ID_R7IRUKX,2020-01-15 13:53:46,2000,,0.0,FINANCED,DAILY,40,3,Male,51.0,Coast Region,Lamu,Business,d_light,270,12800.0,2020-10-11 13:53:46,2020-01-15 13:53:54,2021-01-21 09:54:08
ID_ILJMV2V,2020-01-17 08:48:57,2000,,0.0,FINANCED,DAILY,40,3,Female,32.0,Coast Region,Kilifi,Labourer,d_light,270,12800.0,2020-10-13 08:48:57,2020-01-17 08:49:04,2020-12-08 15:39:32
ID_MIY4SA9,2018-04-12 08:41:37,2500,,0.0,FINANCED,DAILY,55,3,Female,,South Rift,Narok,Business,d_light,556,33080.0,2019-10-20 08:41:37,2018-04-12 08:41:39,2019-12-27 15:37:57
ID_1QJRY6W,2018-04-01 10:38:56,2500,,0.0,FINANCED,DAILY,55,3,Male,47.0,Nyanza,Migori,Business,d_light,556,33080.0,2019-10-09 10:38:56,2018-04-01 10:39:00,2020-12-08 10:59:52
ID_6P4XKH9,2017-09-07 10:00:49,2000,,0.0,FINANCED,DAILY,40,7,Female,41.0,Nairobi Region,Machakos,Labourer,d_light,364,16560.0,2018-09-06 10:00:49,2017-09-07 10:00:51,2018-11-01 09:25:15
ID_L12I4VN,2017-08-24 16:36:32,2000,,0.0,FINANCED,DAILY,40,7,Female,44.0,North Rift,Trans Nzoia,Farmer,d_light,364,16560.0,2018-08-23 16:36:32,2017-08-24 16:36:41,2018-11-08 17:13:12
ID_IJEVVPY,2018-02-09 15:30:04,2999,,0.0,FINANCED,DAILY,55,3,Male,35.0,Coast Region,Kilifi,Labourer,d_light,547,33084.0,2019-08-10 15:30:04,2018-02-09 15:31:13,2021-05-26 17:36:44
ID_PRPSQKK,2020-01-31 09:09:26,2000,,0.0,FINANCED,DAILY,40,3,Female,51.0,North Rift,Turkana,Business,d_light,270,12800.0,2020-10-27 09:09:26,2020-01-31 09:09:34,2021-04-15 12:32:44
ID_BJ6WV9R,2018-02-24 06:20:18,2999,,0.0,FINANCED,DAILY,55,3,Male,32.0,Nyanza,Siaya,Labourer,d_light,547,33084.0,2019-08-25 06:20:18,2018-02-24 06:20:36,2019-09-18 16:35:42
ID_I78IZ3E,2017-07-26 11:55:14,2000,,0.0,FINANCED,DAILY,40,7,Male,51.0,Nyanza,Migori,Farmer,d_light,364,16560.0,2018-07-25 11:55:14,2017-07-26 11:55:16,2018-11-19 16:47:05
ID_HHYNG8I,2018-01-16 11:30:43,2000,,0.0,FINANCED,DAILY,40,7,Male,39.0,Mount Kenya Region,Muranga,Business,d_light,364,16560.0,2019-01-15 11:30:43,2018-01-16 11:30:07,2019-01-14 13:48:39
ID_5OY0V4M,2020-02-06 17:10:39,2000,,0.0,FINANCED,DAILY,40,3,Male,30.0,,UNKNOWN,Business,d_light,270,12800.0,2020-11-02 17:10:39,2020-02-06 17:10:45,2021-04-07 04:57:19
ID_AMKWFO0,2018-03-24 14:06:41,2500,,0.0,FINANCED,DAILY,55,3,Male,,Nyanza,Nyamira,Farmer,d_light,556,33080.0,2019-10-01 14:06:41,2018-03-24 14:06:44,2021-03-25 17:37:01
ID_FBGV6E9,2017-08-22 09:42:27,2000,,0.0,FINANCED,DAILY,40,7,Female,27.0,Coast Region,Kilifi,Business,d_light,364,16560.0,2018-08-21 09:42:27,2017-08-22 09:42:29,2018-11-14 10:47:58
ID_9UJWQXY,2018-02-06 15:53:44,2999,,0.0,FINANCED,DAILY,55,3,Male,29.0,Nyanza,Kisii,Labourer,d_light,547,33084.0,2019-08-07 15:53:44,2018-02-06 15:53:59,2021-05-18 19:14:10
ID_XVR8JII,2018-02-04 18:03:16,2999,,0.0,FINANCED,DAILY,55,3,Male,,Nyanza,Migori,Business,d_light,547,33084.0,2019-08-05 18:03:16,2018-02-04 18:03:59,2019-08-06 16:53:49
ID_JZ78SZ8,2018-01-24 10:53:00,2999,,0.0,FINANCED,DAILY,55,3,Female,48.0,,UNKNOWN,Farmer,d_light,547,33084.0,2019-07-25 10:53:00,2018-01-24 10:53:12,2020-10-05 18:07:21
ID_HDNUYBR,2020-01-25 18:17:45,2000,,0.0,FINANCED,DAILY,40,3,Male,31.0,Coast Region,Kwale,Driver/Motorbike Rider,d_light,270,12800.0,2020-10-21 18:17:45,2020-01-25 18:17:53,2020-12-17 05:20:21
ID_1Z2IKBI,2020-01-15 15:28:02,2000,,0.0,FINANCED,DAILY,40,3,Male,,Coast Region,Kilifi,Farmer,d_light,270,12800.0,2020-10-11 15:28:02,2020-01-15 15:28:08,2020-12-15 10:08:16
ID_NSOF438,2017-08-26 12:45:38,2000,,0.0,FINANCED,DAILY,40,7,Female,52.0,Nyanza,Siaya,Farmer,d_light,364,16560.0,2018-08-25 12:45:38,2017-08-26 12:45:23,2020-09-03 18:35:15
ID_ZD7GJ8B,2018-04-18 12:03:27,2999,2018-04-18 00:00:00,40.0,FINANCED,DAILY,55,3,Female,34.0,Western,Kakamega,Business,d_light,568,56964.0,2019-11-07 12:03:27,2018-04-18 12:03:30,2019-12-15 15:35:43
ID_CE3FKUO,2017-09-22 04:23:18,2000,,0.0,FINANCED,DAILY,40,7,Male,33.0,South Rift,Narok,Business,d_light,364,16560.0,2018-09-21 04:23:18,2017-09-22 04:23:34,2019-01-27 18:11:12
ID_99CUID5,2020-01-06 16:03:25,2000,,0.0,FINANCED,DAILY,40,3,Female,24.0,Nyanza,Kisumu,Business,d_light,270,12800.0,2020-10-02 16:03:25,2020-01-06 16:03:29,2021-01-24 09:22:41
ID_WUQLA62,2020-01-17 13:06:50,2000,,0.0,FINANCED,DAILY,40,3,Male,37.0,Western,Kakamega,Farmer,d_light,270,12800.0,2020-10-13 13:06:50,2020-01-17 13:07:04,2021-05-25 10:16:33
ID_LHFKL0M,2018-04-07 10:13:00,2999,2018-04-07 00:00:00,40.0,FINANCED,DAILY,55,3,Male,,Nyanza,Siaya,Labourer,d_light,568,56964.0,2019-10-27 10:13:00,2018-04-07 10:13:03,2021-05-03 17:40:05
ID_ZBJ4GWH,2017-12-27 09:16:01,2000,,0.0,FINANCED,DAILY,40,7,Male,44.0,Mount Kenya Region,Meru,Farmer,d_light,364,16560.0,2018-12-26 09:16:01,2017-12-27 09:16:02,2019-02-22 18:33:48
ID_GFRWMNW,2017-11-24 10:42:16,2000,,0.0,FINANCED,DAILY,40,7,Male,57.0,Mount Kenya Region,Meru,Farmer,d_light,364,16560.0,2018-11-23 10:42:16,2017-11-24 10:41:46,2018-12-04 11:27:02
ID_U194SWK,2018-03-17 10:55:07,2999,,0.0,FINANCED,DAILY,55,3,Male,31.0,Nairobi Region,Machakos,Other,d_light,547,33084.0,2019-09-15 10:55:07,2018-03-17 10:55:11,2019-09-11 14:13:17
ID_AA375CN,2018-03-29 16:26:54,2500,,0.0,FINANCED,DAILY,55,3,Male,26.0,North Rift,Uasin Gishu,Business,d_light,556,33080.0,2019-10-06 16:26:54,2018-03-29 16:26:55,2021-05-11 16:01:31
ID_Q0WMOQ5,2018-04-26 17:37:13,2500,,0.0,FINANCED,DAILY,55,3,Male,,Coast Region,Mombasa,Labourer,d_light,556,33080.0,2019-11-03 17:37:13,2018-04-26 17:37:16,2020-01-15 16:03:38
ID_RM6ARZB,2018-02-21 14:39:19,2999,,0.0,FINANCED,DAILY,55,3,Male,42.0,South Rift,Narok,Business,d_light,547,33084.0,2019-08-22 14:39:19,2018-02-21 14:39:31,2020-08-29 13:23:35
ID_2UI4SDH,2018-04-05 17:13:25,2500,,0.0,FINANCED,DAILY,55,3,Male,,,UNKNOWN,Business,d_light,556,33080.0,2019-10-13 17:13:25,2018-04-05 17:13:27,2021-02-27 14:17:27
ID_JE2SHHV,2020-01-27 14:15:13,2000,,0.0,FINANCED,DAILY,40,3,Male,,Nairobi Region,Kiambu,Teacher,d_light,270,12800.0,2020-10-23 14:15:13,2020-01-27 14:15:17,2021-04-14 11:24:18
ID_5SP6W2F,2020-01-16 16:15:13,2000,,0.0,FINANCED,DAILY,40,3,Male,38.0,Nyanza,Siaya,Labourer,d_light,270,12800.0,2020-10-12 16:15:13,2020-01-16 16:15:19,2020-11-18 17:59:25
ID_TK716L7,2017-09-02 08:37:59,2000,,0.0,FINANCED,DAILY,40,7,Male,27.0,North Rift,Baringo,Driver/Motorbike Rider,d_light,364,16560.0,2018-09-01 08:37:59,2017-09-02 08:37:52,2021-05-22 19:33:00
ID_C1U5SLG,2018-02-24 17:22:36,2999,,0.0,FINANCED,DAILY,55,3,Male,,Nyanza,Migori,Farmer,d_light,547,33084.0,2019-08-25 17:22:36,2018-02-24 17:23:10,2021-05-22 17:31:08
ID_G5X7FW2,2018-04-13 15:19:34,2500,,0.0,FINANCED,DAILY,55,3,Male,,Coast Region,Kwale,Other,d_light,556,33080.0,2019-10-21 15:19:34,2018-04-13 15:19:36,2020-06-23 16:19:30
ID_783VZPD,2017-07-13 18:19:25,2000,,0.0,FINANCED,DAILY,40,7,Female,58.0,Western,Busia,Business,d_light,364,16560.0,2018-07-12 18:19:25,2017-07-13 18:19:29,2018-07-31 16:21:46
ID_DWIJX4F,2018-04-29 11:38:06,2500,,0.0,FINANCED,DAILY,55,3,Male,,Coast Region,Kilifi,Business,d_light,556,33080.0,2019-11-06 11:38:06,2018-04-29 11:38:10,2019-12-17 10:08:53
ID_1PEHOT9,2018-03-29 15:51:57,2500,,0.0,FINANCED,DAILY,55,3,Male,,Coast Region,Kilifi,Other,d_light,556,33080.0,2019-10-06 15:51:57,2018-03-29 15:52:00,2020-01-19 12:11:53
ID_D7QA4C4,2018-01-29 13:59:03,2999,,0.0,FINANCED,DAILY,55,3,Female,25.0,Mount Kenya Region,Meru,Farmer,d_light,547,33084.0,2019-07-30 13:59:03,2018-01-29 13:59:42,2021-05-24 16:27:56
ID_7V2GW94,2018-04-10 09:40:58,2500,,0.0,FINANCED,DAILY,55,3,Female,,Nyanza,Homa Bay,Farmer,d_light,556,33080.0,2019-10-18 09:40:58,2018-04-10 09:40:59,2021-01-26 09:48:35
ID_61OD3LX,2017-12-04 15:00:37,2000,,0.0,FINANCED,DAILY,40,7,Female,42.0,Nairobi Region,Machakos,Business,d_light,364,16560.0,2018-12-03 15:00:37,2017-12-04 15:00:42,2021-05-05 12:52:50
ID_3MD6PQO,2017-08-29 08:36:27,2000,,0.0,FINANCED,DAILY,40,7,Female,30.0,Coast Region,Kilifi,Business,d_light,364,16560.0,2018-08-28 08:36:27,2017-08-29 08:36:36,2018-12-03 14:47:43
ID_A6OELVI,2018-03-30 16:20:11,2500,,0.0,FINANCED,DAILY,55,3,Male,,Nyanza,Kisii,Labourer,d_light,556,33080.0,2019-10-07 16:20:11,2018-03-30 16:20:13,2021-05-25 17:36:44
ID_AIMNEIH,2017-08-05 12:02:27,2000,,0.0,FINANCED,DAILY,40,7,Male,36.0,Nairobi Region,Machakos,Business,d_light,364,16560.0,2018-08-04 12:02:27,2017-08-05 12:02:40,2020-08-29 13:19:31
ID_H11TACX,2018-02-13 13:57:50,2999,2018-02-13 00:00:00,40.0,FINANCED,DAILY,55,3,Female,41.0,Western,Bungoma,Business,d_light,568,56964.0,2019-09-04 13:57:50,2018-02-13 13:58:08,2020-03-09 17:59:23
ID_UIGBXSN,2017-08-11 07:45:00,2000,,0.0,FINANCED,DAILY,40,7,Male,44.0,Nyanza,Migori,Business,d_light,364,16560.0,2018-08-10 07:45:00,2017-08-11 07:44:58,2018-08-14 15:23:20
ID_ZG9L1XJ,2020-02-03 04:44:25,2400,,0.0,FINANCED,DAILY,50,3,Male,53.0,South Rift,Kericho,Farmer,d_light,240,14400.0,2020-09-30 04:44:25,2020-02-03 04:44:35,2021-05-20 05:23:24
ID_HJZ56VC,2017-08-03 09:30:29,2000,,0.0,FINANCED,DAILY,40,7,Female,36.0,North Rift,Baringo,Business,d_light,364,16560.0,2018-08-02 09:30:29,2017-08-03 09:30:31,2018-11-27 08:53:45
ID_8ROSBB4,2018-02-26 16:29:20,2999,,0.0,FINANCED,DAILY,55,3,Male,,Mount Kenya Region,Meru,Farmer,d_light,547,33084.0,2019-08-27 16:29:20,2018-02-26 16:29:28,2021-04-19 14:00:51
ID_AFTKWXP,2018-01-24 15:16:27,2000,,0.0,FINANCED,DAILY,40,7,Female,34.0,Mount Kenya Region,Meru,Farmer,d_light,364,16560.0,2019-01-23 15:16:27,2018-01-24 15:17:04,2019-04-13 16:30:25
ID_FA0EFOT,2018-04-11 08:49:24,2500,,0.0,FINANCED,DAILY,55,3,Male,28.0,South Rift,Narok,Farmer,d_light,556,33080.0,2019-10-19 08:49:24,2018-04-11 08:49:25,2021-05-25 15:41:40
ID_RVZTHB9,2017-08-14 14:04:23,2000,,0.0,FINANCED,DAILY,40,7,Male,58.0,Nyanza,Nyamira,Labourer,d_light,364,16560.0,2018-08-13 14:04:23,2017-08-14 14:04:36,2018-12-15 16:29:46
ID_1UL6EVS,2018-04-26 13:44:51,2500,,0.0,FINANCED,DAILY,55,3,Female,,South Rift,Kericho,Teacher,d_light,556,33080.0,2019-11-03 13:44:51,2018-04-26 13:44:53,2020-03-05 15:59:00
ID_ZZUI7BX,2018-03-17 06:35:36,2999,,0.0,FINANCED,DAILY,55,3,Male,34.0,Mount Kenya Region,Meru,Farmer,d_light,547,33084.0,2019-09-15 06:35:36,2018-03-17 06:35:40,2020-02-22 17:09:54
ID_S1PKBGX,2017-07-07 13:01:26,2000,,0.0,FINANCED,DAILY,40,7,Female,36.0,North Rift,Baringo,Farmer,d_light,364,16560.0,2018-07-06 13:01:26,2017-07-07 12:49:30,2020-04-18 15:33:37
ID_9G44VFO,2017-07-17 17:18:13,2000,,0.0,FINANCED,DAILY,40,7,Male,37.0,Nyanza,Nyamira,Business,d_light,364,16560.0,2018-07-16 17:18:13,2017-07-17 17:18:17,2018-07-22 18:04:15
ID_NLO727H,2018-01-09 08:09:02,2000,,0.0,FINANCED,DAILY,40,7,Male,,Mount Kenya Region,Meru,Farmer,d_light,364,16560.0,2019-01-08 08:09:02,2018-01-09 08:09:05,2020-10-17 16:26:18
ID_1TWG3NT,2018-04-05 16:00:20,2500,,0.0,FINANCED,DAILY,55,3,Male,25.0,South Rift,Narok,Teacher,d_light,556,33080.0,2019-10-13 16:00:20,2018-04-05 16:00:23,2020-12-03 17:58:43
ID_L1H32PJ,2018-03-03 09:49:48,2999,,0.0,FINANCED,DAILY,55,3,Female,,Coast Region,Kilifi,Government Employee,d_light,547,33084.0,2019-09-01 09:49:48,2018-03-03 09:49:51,2020-11-28 16:02:33
ID_B22HA1P,2018-04-15 16:06:15,2500,,0.0,FINANCED,DAILY,55,3,Female,,Coast Region,Kwale,Business,d_light,556,33080.0,2019-10-23 16:06:15,2018-04-15 16:06:20,2020-10-01 17:40:59
ID_Y1S8PBI,2018-01-25 08:46:40,2999,,0.0,FINANCED,DAILY,55,3,Male,29.0,Coast Region,Kilifi,Driver/Motorbike Rider,d_light,547,33084.0,2019-07-26 08:46:40,2018-01-25 08:46:50,2020-04-14 15:55:26
ID_FLATHBF,2017-08-26 05:05:51,2000,,0.0,FINANCED,DAILY,40,7,Male,26.0,Nairobi Region,Kitui,Driver/Motorbike Rider,d_light,364,16560.0,2018-08-25 05:05:51,2017-08-26 05:05:52,2018-09-12 19:26:11
ID_3G3CI5D,2020-02-16 14:57:18,2400,,0.0,FINANCED,DAILY,50,3,Male,39.0,Western,Kakamega,Driver/Motorbike Rider,d_light,240,14400.0,2020-10-13 14:57:18,2020-02-16 14:57:27,2021-05-22 15:30:21
ID_NGCET14,2020-01-22 11:34:12,2000,,0.0,FINANCED,DAILY,40,3,Male,,North Rift,Trans Nzoia,Labourer,d_light,270,12800.0,2020-10-18 11:34:12,2020-01-22 11:34:17,2021-03-08 12:17:06
ID_CN83BUG,2017-07-09 05:04:36,2000,,0.0,FINANCED,DAILY,40,7,Male,34.0,Mount Kenya Region,Laikipia,Farmer,d_light,364,16560.0,2018-07-08 05:04:36,2017-07-09 04:52:53,2019-01-24 17:44:24
ID_2U58GWB,2018-03-17 10:19:59,2000,,0.0,FINANCED,DAILY,40,7,Male,,Nyanza,Kisii,Farmer,d_light,364,16560.0,2019-03-16 10:19:59,2018-03-17 10:20:03,2021-03-10 16:24:46
ID_XWB1IBC,2018-01-22 14:00:05,2999,,0.0,FINANCED,DAILY,55,3,Male,43.0,Nyanza,Migori,Farmer,d_light,547,33084.0,2019-07-23 14:00:05,2018-01-22 14:00:21,2021-05-24 17:27:10
ID_P5CU5EM,2017-07-09 14:41:57,2000,,0.0,FINANCED,DAILY,40,7,Male,42.0,,UNKNOWN,Farmer,d_light,364,16560.0,2018-07-08 14:41:57,2017-07-10 07:36:07,2020-09-02 20:34:57
ID_04T0T2V,2020-01-08 15:26:59,2000,,0.0,FINANCED,DAILY,40,3,Male,50.0,South Rift,Nakuru,Farmer,d_light,270,12800.0,2020-10-04 15:26:59,2020-01-08 15:27:04,2021-05-24 18:09:25
ID_CKHSFOU,2017-09-16 17:19:26,2000,,0.0,FINANCED,DAILY,40,7,Female,27.0,North Rift,Trans Nzoia,Farmer,d_light,364,16560.0,2018-09-15 17:19:26,2017-09-16 17:19:16,2020-05-24 10:48:40
ID_CC5GW0L,2018-03-18 07:49:48,2999,,0.0,FINANCED,DAILY,55,3,Male,,Mount Kenya Region,Tharaka-Nithi,Labourer,d_light,547,33084.0,2019-09-16 07:49:48,2018-03-18 07:49:52,2021-05-21 16:12:25
ID_5GLWPQA,2018-03-27 13:08:15,2500,,0.0,FINANCED,DAILY,55,3,Male,29.0,Mount Kenya Region,Meru,Driver/Motorbike Rider,d_light,556,33080.0,2019-10-04 13:08:15,2018-03-27 13:08:15,2021-05-09 02:03:17
